sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
aerospace - & defense,LMT,2026-03-30,16.80,27.86,1.84,9.0%,195.0%,142.0%,155.0%
aerospace - & defense,NOC,2026-03-30,18.91,23.01,2.27,10.0%,12.0%,12.0%,13.0%
aerospace - & defense,LHX,2026-03-30,20.71,39.85,2.90,2.0%,-22.0%,-7.0%,-34.0%
aerospace - & defense,MOG-A,2026-03-30,18.51,35.10,2.22,21.0%,48.0%,27.0%,48.0%
aerospace - & defense,ALNT,2026-03-30,15.94,45.23,1.82,17.0%,123.0%,37.0%,112.0%
aerospace - & defense,GD,2026-03-30,15.86,22.05,1.75,8.0%,2.0%,2.0%,0.0%
aerospace - & defense,HII,2026-03-30,17.81,24.02,1.16,16.0%,51.0%,43.0%,29.0%
aerospace - & defense,CW,2026-03-30,31.59,49.11,6.66,15.0%,16.0%,13.0%,16.0%
aerospace - & defense,BWXT,2026-03-30,44.12,53.50,5.48,19.0%,29.0%,-2.0%,31.0%
aerospace - & defense,LDOS,2026-03-30,9.90,13.85,1.13,-4.0%,14.0%,11.0%,15.0%
aerospace - & defense,BAH,2026-03-30,10.07,11.73,0.83,-10.0%,-25.0%,-11.0%,7.0%
aerospace - & defense,CACI,2026-03-30,14.70,23.91,1.37,6.0%,18.0%,13.0%,13.0%
aerospace - & defense,USAS,2026-03-30,NA,NA,11.94,38.0%,-6.0%,299.0%,12.0%
aerospace - & defense,ALM,2026-03-30,NA,NA,155.50,39.0%,1790.0%,344.0%,1800.0%
aerospace - & defense,UAMY,2026-03-30,NA,NA,28.74,90.0%,-73.0%,616.0%,-67.0%
,,,,,,,,,
aerospace - aftermarket,GE,2026-03-30,30.93,33.57,6.25,18.0%,24.0%,1.0%,33.0%
aerospace - aftermarket,FTAI,2026-03-30,26.63,49.59,9.34,32.0%,24.0%,18.0%,29.0%
aerospace - aftermarket,HEI,2026-03-30,27.76,52.41,6.82,14.0%,19.0%,13.0%,13.0%
aerospace - aftermarket,ATI,2026-03-30,24.77,47.51,4.04,0.0%,-30.0%,9.0%,-30.0%
aerospace - aftermarket,CRS,2026-03-30,25.43,43.06,6.27,8.0%,24.0%,24.0%,25.0%
aerospace - aftermarket,HWM,2026-03-30,38.07,60.04,10.83,15.0%,10.0%,23.0%,18.0%
aerospace - aftermarket,PH,2026-03-30,22.34,31.42,5.31,9.0%,-9.0%,13.0%,-11.0%
aerospace - aftermarket,TDG,2026-03-30,19.63,36.42,7.02,14.0%,-8.0%,8.0%,-13.0%
aerospace - aftermarket,BA,2026-03-30,NA,99.80,1.66,57.0%,-303.0%,-93.0%,-307.0%
,,,,,,,,,
material - rare earth(永磁体),CRS,2026-03-30,25.43,43.06,6.27,8.0%,24.0%,24.0%,25.0%
material - rare earth(永磁体),MP,2026-03-30,NA,NA,29.40,70.0%,-131.0%,-265.0%,-142.0%
material - rare earth(永磁体),USAR,2026-03-30,NA,NA,NA,,-10497.0%,712.0%,-11227.0%
material - rare earth(永磁体),EMAT,2026-03-30,NA,NA,NA,,-48.0%,-49.0%,-52.0%
material - rare earth(永磁体),METC,2026-03-30,57.98,NA,1.72,-25.0%,-360.0%,-84.0%,-481.0%
material - rare earth(永磁体),CRML,2026-03-30,NA,NA,NA,,,,
,,,,,,,,,
chips,QCOM,2026-03-30,10.07,26.25,3.02,5.0%,-2.0%,-6.0%,-6.0%
chips,INTC,2026-03-30,19.02,NA,3.89,-4.0%,-44.0%,23.0%,369.0%
chips,ARM,2026-03-30,129.66,182.49,31.14,26.0%,-15.0%,14.0%,-12.0%
,,,,,,,,,
robotic,MOG-A,2026-03-30,18.51,35.10,2.22,21.0%,48.0%,27.0%,48.0%
robotic,ALNT,2026-03-30,15.94,45.23,1.82,17.0%,123.0%,37.0%,112.0%
robotic,ROK,2026-03-30,22.62,39.88,4.57,12.0%,61.0%,6.0%,66.0%
robotic,SNPS,2026-03-30,35.41,59.21,9.17,65.0%,-73.0%,106.0%,-78.0%
robotic,SYM,2026-03-30,NA,NA,11.94,29.0%,-218.0%,-266.0%,-175.0%
,,,,,,,,,
quatum,IBM,2026-03-30,14.37,21.28,3.30,12.0%,25.0%,27.0%,92.0%
quatum,IONQ,2026-03-30,NA,NA,74.98,429.0%,-461.0%,151.0%,-473.0%
