sector	ticker	date	TTM P/E (GAAP)	TTM P/S (GAAP)	rev yoy%	EBIT yoy	EBITDA yoy	Net Income yoy
Industry - auto manufactueres	F	2026-01-16	11.68	0.29	9.0%	109.0%	48.0%	174.0%
Industry - auto manufactueres	CPRT	2026-01-16	25.17	8.53	1.0%	8.0%	5.0%	11.0%
								
home building - residential construction	DHI	2026-01-16	13.39	1.32	-3.0%	-30.0%	-24.0%	-29.0%
home building - residential construction	TOL	2026-01-16	10.85	1.27	3.0%	-5.0%	-8.0%	-6.0%
home building - residential construction	KBH	2026-01-16	9.94	0.64	-15.0%	-48.0%	-45.0%	-46.0%
home building - residential construction	BLD	2026-01-16	25.11	2.65	1.0%	-16.0%	-3.0%	-16.0%
home building - residential construction	IBP	2026-01-16	33.31	2.82	2.0%	7.0%	6.0%	8.0%
								
home building - material	CRH	2026-01-16	24.47	2.23	5.0%	1.0%	9.0%	11.0%
home building - material	MLM	2026-01-16	34.37	5.92	-2.0%	-2.0%	2.0%	14.0%
home building - material	VMC	2026-01-16	36.34	5.13	14.0%	66.0%	24.0%	81.0%
								
home building - home improvement retial	HD	2026-01-16	25.91	2.28	3.0%	-1.0%	0.0%	-1.0%
home building - home improvement retial	LOW	2026-01-16	23.02	1.85	3.0%	-4.0%	1.0%	-5.0%
home building - home improvement retial	BLDR	2026-01-16	24.19	0.90	-7.0%	-57.0%	-34.0%	-57.0%
home building - home improvement retial	W	2026-01-16	NA	1.22	8.0%	37.0%	452.0%	34.0%
home building - home improvement retial	WSM	2026-01-16	23.17	3.18	5.0%	-1.0%	-1.0%	-3.0%
								
cons disc - loging	MAR	2026-01-16	34.44	3.38	4.0%	26.0%	N/A	25.0%
cons disc - loging	HLT	2026-01-16	43.59	5.96	9.0%	23.0%	N/A	22.0%
cons disc - loging	H	2026-01-16	NA	2.30	10.0%	-103.0%	N/A	-110.0%
								
cons disc - airline	DAL	2026-01-16	9.20	0.73	3.0%	26.0%	-11.0%	45.0%
cons disc - airline	UAL	2026-01-16	11.44	0.63	3.0%	-2.0%	-11.0%	-2.0%
cons disc - airline	LUV	2026-01-16	65.86	0.81	1.0%	-24.0%	-5.0%	-19.0%
cons disc - airline	AAL	2026-01-16	18.43	0.19	0.0%	-45.0%	-44.0%	-23.0%
								
cons disc - resort & casinos	LVS	2026-01-16	26.72	3.26	24.0%	44.0%	36.0%	52.0%
cons disc - resort & casinos	WYNN	2026-01-16	25.15	1.67	8.0%	1519.0%	61.0%	-376.0%
cons disc - resort & casinos	MGM	2026-01-16	219.15	0.55	2.0%	-174.0%	-15.0%	-255.0%
cons disc - resort & casinos	CZR	2026-01-16	NA	0.44	0.0%	-223.0%	-11.0%	511.0%
								
cons disc - travel service	BKNG	2026-01-16	33.41	6.36	13.0%	21.0%	26.0%	9.0%
cons disc - travel service	ABNB	2026-01-16	30.97	6.72	11.0%	3.0%	10.0%	0.0%
cons disc - travel service	RCL	2026-01-16	18.56	4.30	5.0%	42.0%	5.0%	42.0%
cons disc - travel service	EXPE	2026-01-16	27.43	2.44	9.0%	29.0%	25.0%	40.0%
cons disc - travel service	MMYT	2026-01-16	113.69	6.95	9.0%	-106.0%	26.0%	-131.0%
cons disc - travel service	YOU	2026-01-16	18.23	5.34	16.0%	42.0%	43.0%	21.0%
								
cons disc - gambling	FLUT	2026-01-16	NA	2.15	17.0%	542.0%	-8.0%	570.0%
cons disc - gambling	DKNG	2026-01-16	NA	5.33	4.0%	-8.0%	-1.0%	-13.0%
								
cons disc - restaurants	MCD	2026-01-16	26.23	8.34	3.0%	4.0%	4.0%	1.0%
cons disc - restaurants	SBUX	2026-01-16	56.97	2.84	5.0%	-86.0%	-14.0%	-85.0%
