sector,ticker,date,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
Fin - credit,COF,2026-01-20,97.00,2.32,N/A,98.0%,N/A,82.0%
Fin - credit,AFRM,2026-01-20,103.70,7.33,34.0%,-184.0%,N/A,-181.0%
Fin - credit,KLAR,2026-01-20,NA,3.20,28.0%,-680.0%,-216.0%,-628.0%
Fin - credit,SOFI,2026-01-20,46.22,7.23,28.0%,133.0%,N/A,129.0%
Fin - credit,UPST,2026-01-20,195.83,4.49,71.0%,-576.0%,-175.0%,-570.0%
Fin - credit,FICO,2026-01-20,56.30,17.80,14.0%,18.0%,25.0%,14.0%
,,,,,,,,
Fin - payment,V,2026-01-20,32.25,15.58,12.0%,-2.0%,11.0%,-4.0%
Fin - payment,MA,2026-01-20,34.01,15.16,17.0%,29.0%,21.0%,20.0%
Fin - payment,FISV,2026-01-20,9.97,1.64,1.0%,-24.0%,-15.0%,40.0%
Fin - payment,PYPL,2026-01-20,11.05,1.57,8.0%,17.0%,9.0%,24.0%
Fin - payment,XYZ,2026-01-20,12.60,1.59,2.0%,86.0%,28.0%,63.0%
Fin - payment,TOST,2026-01-20,75.14,3.29,25.0%,82.0%,115.0%,88.0%
,,,,,,,,
Fin - broker,SCHW,2026-01-20,23.69,6.61,7.0%,64.0%,N/A,75.0%
Fin - broker,IBKR,2026-01-20,34.45,3.15,15.0%,44.0%,N/A,43.0%
Fin - broker,HOOD,2026-01-20,43.91,22.51,99.0%,314.0%,N/A,271.0%
Fin - broker,COIN,2026-01-20,19.71,7.03,22.0%,632.0%,N/A,473.0%
,,,,,,,,
Fin - asset manage,BLK,2026-01-20,31.71,7.27,26.0%,-24.0%,N/A,-33.0%
Fin - asset manage,BX,2026-01-20,44.14,13.41,41.0%,-20.0%,N/A,-20.0%
Fin - asset manage,KKR,2026-01-20,52.36,6.19,-2.0%,34.0%,N/A,43.0%
Fin - asset manage,BN,2026-01-20,127.83,1.47,-7.0%,-83.0%,N/A,743.0%
Fin - asset manage,APO,2026-01-20,20.54,2.89,26.0%,39.0%,N/A,120.0%
Fin - asset manage,SSNC,2026-01-20,25.08,3.34,7.0%,13.0%,9.0%,28.0%
Fin - asset manage,CWAN,2026-01-20,15.90,11.12,77.0%,-334.0%,236.0%,-385.0%
,,,,,,,,
Fin - mm,VIRT,2026-01-20,7.93,1.80,26.0%,22.0%,N/A,29.0%
,,,,,,,,
Fin - data & stock exchange,ICE,2026-01-20,31.12,8.21,7.0%,20.0%,N/A,24.0%
Fin - data & stock exchange,NDAQ,2026-01-20,34.73,6.81,3.0%,49.0%,N/A,38.0%
Fin - data & stock exchange,CME,2026-01-20,27.13,15.78,-3.0%,0.0%,N/A,-1.0%
Fin - data & stock exchange,CBOE,2026-01-20,29.19,6.16,8.0%,39.0%,N/A,38.0%
Fin - data & stock exchange,MRX,2026-01-20,14.66,0.98,,,N/A,
Fin - data & stock exchange,SPGI,2026-01-20,37.73,10.47,9.0%,18.0%,25.0%,21.0%
Fin - data & stock exchange,MSCI,2026-01-20,37.03,14.37,9.0%,11.0%,9.0%,16.0%
Fin - data & stock exchange,MCO,2026-01-20,41.59,12.30,11.0%,23.0%,22.0%,21.0%
Fin - data & stock exchange,TW,2026-01-20,35.41,12.29,13.0%,55.0%,17.0%,63.0%
Fin - data & stock exchange,MKTX,2026-01-20,29.34,7.60,1.0%,1.0%,N/A,-5.0%
,,,,,,,,
Industry - farm machinery,DE,2026-01-20,27.49,3.01,11.0%,-6.0%,-6.0%,-14.0%
Industry - farm machinery,PCAR,2026-01-20,23.37,2.12,-19.0%,-41.0%,-41.0%,-39.0%
,,,,,,,,
aerospace - aftermarket,BA,2026-01-20,NA,2.41,30.0%,-16.0%,-19.0%,-12.0%
aerospace - aftermarket,GE,2026-01-20,41.64,7.50,24.0%,33.0%,36.0%,17.0%
aerospace - aftermarket,HWM,2026-01-20,61.85,11.11,14.0%,40.0%,26.0%,16.0%
aerospace - aftermarket,TDG,2026-01-20,45.14,9.23,12.0%,24.0%,18.0%,34.0%
aerospace - aftermarket,HEI,2026-01-20,70.25,9.23,19.0%,35.0%,9.0%,35.0%
aerospace - aftermarket,CRS,2026-01-20,40.66,5.72,2.0%,43.0%,25.0%,45.0%
,,,,,,,,
Industry - police equipment,MSI,2026-01-20,31.38,5.76,8.0%,4.0%,11.0%,0.0%
Industry - police equipment,AXON,2026-01-20,196.43,19.14,31.0%,-80.0%,-41.0%,-103.0%
,,,,,,,,
Industry - auto manufactueres,RACE,2026-01-20,34.01,7.65,14.0%,12.0%,11.0%,8.0%
Industry - auto manufactueres,GM,2026-01-20,15.64,0.39,0.0%,-62.0%,-20.0%,-57.0%
Industry - auto manufactueres,F,2026-01-20,11.39,0.28,9.0%,109.0%,48.0%,174.0%
Industry - auto manufactueres,CPRT,2026-01-20,24.97,8.47,1.0%,8.0%,5.0%,11.0%
,,,,,,,,
home building - residential construction,DHI,2026-01-20,13.91,1.33,-10.0%,-28.0%,-31.0%,-30.0%
home building - residential construction,TOL,2026-01-20,10.61,1.25,3.0%,-5.0%,-8.0%,-6.0%
home building - residential construction,KBH,2026-01-20,9.77,0.62,-15.0%,-48.0%,-45.0%,-46.0%
home building - residential construction,BLD,2026-01-20,24.50,2.59,1.0%,-16.0%,-3.0%,-16.0%
home building - residential construction,IBP,2026-01-20,32.32,2.74,2.0%,7.0%,6.0%,8.0%
,,,,,,,,
home building - material,CRH,2026-01-20,24.05,2.19,5.0%,1.0%,9.0%,11.0%
home building - material,MLM,2026-01-20,33.24,5.73,-2.0%,-2.0%,2.0%,14.0%
home building - material,VMC,2026-01-20,35.20,4.96,14.0%,66.0%,24.0%,81.0%
,,,,,,,,
home building - home improvement retial,HD,2026-01-20,25.58,2.25,3.0%,-1.0%,0.0%,-1.0%
home building - home improvement retial,LOW,2026-01-20,22.25,1.79,3.0%,-4.0%,1.0%,-5.0%
home building - home improvement retial,BLDR,2026-01-20,23.32,0.87,-7.0%,-57.0%,-34.0%,-57.0%
home building - home improvement retial,W,2026-01-20,NA,1.15,8.0%,37.0%,452.0%,34.0%
home building - home improvement retial,WSM,2026-01-20,22.64,3.11,5.0%,-1.0%,-1.0%,-3.0%
,,,,,,,,
cons disc - loging,MAR,2026-01-20,33.15,3.25,4.0%,26.0%,N/A,25.0%
cons disc - loging,HLT,2026-01-20,42.02,5.74,9.0%,23.0%,N/A,22.0%
cons disc - loging,H,2026-01-20,NA,2.19,10.0%,-103.0%,N/A,-110.0%
,,,,,,,,
cons disc - airline,DAL,2026-01-20,8.80,0.70,3.0%,26.0%,-11.0%,45.0%
cons disc - airline,UAL,2026-01-20,10.87,0.60,3.0%,-2.0%,-11.0%,-2.0%
cons disc - airline,LUV,2026-01-20,64.58,0.80,1.0%,-24.0%,-5.0%,-19.0%
cons disc - airline,AAL,2026-01-20,17.78,0.18,0.0%,-45.0%,-44.0%,-23.0%
,,,,,,,,
